Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2021-10-12,6716.381615127925,6272.07080078125,6207.807780281442,6216.37618301475,91067000,56.33678286098589,6283.663497582781,6220.282418819361,6346.210194222316,6069.325318395362,5747.670959898591,278.3173642221918,170.48707522194434,False
2021-10-13,6471.840043085411,7068.931815822259,6340.617628737541,6340.617628737541,210893300,53.4747089464242,6370.20712109181,6553.979721467049,6320.06248703462,6142.674435031525,5772.137594419087,274.4832067182897,191.2863015212134,False
2021-10-14,6364.321115838958,6769.038747479838,6511.986643145161,6511.986643145161,138811900,53.302340136068615,6390.533705490531,6467.930674386365,6351.681334502447,6224.494810488342,5767.394652778454,259.774214970862,204.98388421114313,False
2021-10-15,6123.648487216365,6747.6171875,6383.460069444445,6683.354166666667,142378200,53.00061036852331,6385.291187560217,6609.343912878253,6280.645942684371,6270.256926522737,5759.69801886029,226.09073009377153,209.20525338766882,True
2021-10-18,6709.228224527806,6576.24868926495,6404.880645245016,6554.827683762458,116644300,48.728860040983164,6332.962647491447,6624.719304265677,6284.955709114615,6304.679118769186,5746.615288199595,243.83691637053926,216.13158598424292,False
2021-10-19,5499.636006783722,6447.722763671875,6297.77572265625,6404.880751953125,134601200,47.005562483158094,6408.215762898719,6477.083897159293,6348.683157989328,6389.8347618679745,5828.700502633375,158.470168404142,204.59930246822273,True
2021-10-21,7629.162047205035,6469.144207928632,6297.776149440456,6426.302193306588,106120100,52.27913731603015,6226.49981167572,6233.734775490452,6393.85724847875,6291.286583186565,5834.933325188745,259.6581819865387,215.61107837188592,False
2021-10-22,6119.136502081807,6469.143661752491,6362.038634240033,6383.459639742525,96730700,50.152148049189556,6507.032258781584,6465.199176314377,6466.564925350371,6389.520615106422,5908.867289311623,215.5195943619301,215.59278156989478,True
2021-10-25,6638.390889531464,6447.72265625,6340.617628737541,6340.617628737541,60329800,52.1470650099047,6429.453107441628,6416.162253562948,6512.753083220599,6325.818046310564,5928.916437459945,219.90401850545004,216.45502895700582,True
2021-10-26,7119.706676817451,6511.985672757475,6426.301650747509,6511.985672757475,70103000,58.19013012391705,6471.240663859596,6519.110734025968,6571.915019145822,6363.007384085066,5974.606200843782,259.22864132440645,225.00975143048598,False
2021-10-27,7075.557027272242,6490.564993839136,6362.038954357173,6490.564993839136,57067000,50.8002807459672,6600.933866451167,6601.206424483896,6539.145160821595,6432.857580154184,6020.125856612369,283.56244908124336,236.72029096063747,False
2021-10-28,6011.690655366371,6362.03928098517,6297.776257944915,6297.776257944915,75271900,51.66289068289701,6695.858498615383,6916.390628581599,6575.062702036026,6568.035041846367,6100.198649527698,214.52908419075993,232.28204960666199,True
2021-10-29,6965.643469209188,6404.88134765625,6319.197316249478,6383.4603398045565,60639200,54.09419153563806,6559.024929965581,6592.896350213867,6529.047763264121,6508.67540030487,6120.3944192676845,234.09713862367425,232.64506741006446,False
2021-11-01,6346.493561899864,6469.144207928632,6340.6181640625,6469.144207928632,38593400,44.72751986187216,6640.3486378143025,6762.1977436393445,6589.179998601145,6595.9013033601805,6169.517545304184,197.3695859453137,225.58997111711432,True
2021-11-02,6375.749869305179,6362.039117682471,6212.092067770762,6319.197103421982,90535400,48.25109011952646,6581.577622631416,6703.818278113024,6611.464506069495,6615.88277213489,6246.168841155828,168.679048273003,214.20778654829206,False
2021-11-03,5847.227883935244,6340.617400085034,6212.091371704932,6254.933381164966,61621500,46.88391372408589,6540.41207196617,6555.026916610569,6578.116670547232,6544.439079417919,6306.88219890664,102.11714045723056,191.78965733007976,True
2021-11-04,7599.845455362853,6404.881296345339,6319.197265625,6362.03928098517,61081400,55.29473476210368,6401.775234359985,6309.36108794317,6612.875858262385,6486.495497338407,6314.584966184966,188.6137182031198,191.15446950468777,False
2021-11-05,6487.39465297867,6404.880967517827,6319.196941196518,6404.880967517827,43120400,51.45042925642569,6641.3892785605585,6626.9920479424645,6609.944199078166,6561.695858156903,6393.095334322623,165.48973398816088,186.02152240138238,True
2021-11-08,7304.847895099797,6511.98643770627,6383.460389593647,6426.302405631188,85441700,52.33189838309186,6610.590353444181,6531.342284696362,6646.770014167852,6569.900760632884,6420.07884357781,210.6966746842454,190.956552857955,False
2021-11-09,6952.087641724052,6576.2490234375,6490.564997073494,6511.986003664495,101785800,56.09541288147572,6749.4418617753045,6723.013151336349,6713.415714724685,6648.647387825113,6476.66325329715,215.57369718614154,195.8799817235923,False
2021-11-10,6194.729317729166,6576.249131944445,6490.565104166667,6576.249131944445,47503900,43.19666742737102,6789.971017765054,6838.280705820123,6696.653811215346,6664.838015638195,6527.336388753086,156.5219972642608,188.008384831726,True
2021-11-11,6721.307211386708,6640.512043210505,6511.986003664495,6597.670030028502,55790000,53.149861568772195,6670.922677757877,6907.780992578907,6608.571040261039,6711.177569701225,6501.232076443895,150.47890767690114,180.50248940076105,True
2021-11-12,7086.612689643114,6640.511705772426,6447.72265625,6640.511705772426,52590100,52.38295780777644,6680.999584483643,6732.073343783678,6679.532695863073,6650.653913980004,6520.087264543213,173.1706117337344,179.03611386735574,False
